코인셀 보관함	Coin-cell organizer	コイン電池ケース	纽扣电池收纳盒
STL 준비 완료. 출력 전에 정지 높이를 확인하세요.	STL ready. Check pause heights before printing.	STL準備完了。印刷前に停止高さを確認してください。	STL已准备好，打印前请确认暂停高度。
STL은 준비됐지만 3D 표시를 시작하지 못했습니다. 배치도로 확인하세요.	STLs are ready, but 3D display failed. Use the layout view.	STLは生成済みですが3D表示に失敗しました。配置図で確認してください。	STL已生成，但3D显示失败，请查看布局图。
형상 엔진을 불러오지 못했습니다. 페이지를 새로고침하세요.	Could not load the geometry engine. Reload the page.	形状エンジンを読み込めませんでした。再読み込みしてください。	无法加载模型引擎，请刷新页面。
코인셀을 최소 1개 선택하세요.	Select at least one cell.	電池を1個以上選んでください。	请至少选择一枚电池。
지정한 내부 폭으로는 셀을 배치할 수 없습니다.	The cells do not fit within this internal width.	指定した内幅には配置できません。	无法在指定内部宽度中放下电池。
P1S 256mm 베드를 벗어납니다. 수량 또는 내부 폭을 줄이세요.	Exceeds the P1S 256mm bed. Reduce quantities or internal width.	P1Sの256mmベッドを超えます。数量または内幅を減らしてください。	超出P1S的256mm打印床，请减少数量或内部宽度。
형상을 만들 수 없습니다. 설정을 조정해 주세요.	Could not generate geometry. Adjust the settings.	形状を生成できません。設定を調整してください。	无法生成模型，请调整设置。
{type} 개수	{type} quantity	{type}の数量	{type}数量
개 수납	cells	個収納	枚容量
전체 가로 × 세로 mm	Overall width × depth, mm	全体 幅×奥行 mm	整体宽×深 mm
높이 mm	Height, mm	高さ mm	高度 mm
기울기 {tilt}° · 중심 간격 {spacing}mm · 셀 노출 약 {exposure}% · 뚜껑 받침까지 0.5mm	Tilt {tilt}° · Centres {spacing}mm · Exposure ≈{exposure}% · Lid gap 0.5mm	傾き{tilt}° · 中心間隔{spacing}mm · 露出約{exposure}% · ふた隙間0.5mm	倾角{tilt}° · 中心间距{spacing}mm · 露出约{exposure}% · 盒盖间隙0.5mm
{layer}층 ({z}mm) 출력 전	Before layer {layer} ({z}mm)	{layer}層 ({z}mm) の前	第{layer}层 ({z}mm) 开始前
STL에는 정지가 없습니다. 자석 구멍이 열린 마지막 층 다음에 정지를 설정하세요. 이 맞춤 형상의 실물 끼움과 흔들기 유지력은 미검증입니다.	STLs contain no pauses. Pause after the last layer with open magnet pockets, before sealing. Physical fit and shake retention of this custom design are untested.	STLには停止がありません。磁石の穴が開いている最後の層の後、封止前に停止してください。このカスタム形状のはめ合いと振動時の保持は未検証です。	STL不含暂停。请在磁铁孔仍开放的最后一层完成后、封孔前暂停。此定制形状的实物配合及摇晃保持力尚未验证。
뚜껑 여닫기	Open / close lid	ふたの開閉	盒盖开合
닫기	Close	閉じる	关闭
완전히 열기	Fully open	全開	完全打开
조립 3D — 실제 배포 STL	Assembly 3D — actual download meshes	組み立て3D — 配布STLを使用	装配3D — 实际发布STL
마우스로 회전 · 휠로 확대 · 터치로 회전·확대	Drag to rotate · Scroll to zoom · Touch to rotate and zoom	ドラッグで回転 · ホイールで拡大 · タッチ操作対応	拖动旋转 · 滚轮缩放 · 支持触控
3D를 불러오는 중…	Loading 3D…	3Dを読み込み中…	正在加载3D…
3D를 표시하지 못했습니다. STL 다운로드는 사용할 수 있습니다.	Could not display 3D. STL downloads remain available.	3Dを表示できません。STLはダウンロードできます。	无法显示3D，仍可下载STL。
3D 준비 완료	3D ready	3D表示準備完了	3D已就绪
설정을 바꾸면 3D가 자동으로 갱신됩니다.	3D updates automatically when settings change.	設定を変えると3Dが自動更新されます。	更改设置后自动更新3D。
출력 방향을 유지하고 뚜껑을 거울 반사하지 마세요. 식힌 뒤 필라멘트 핀을 끼우고, 회전을 막지 않도록 끝을 정리하세요.	Keep the supplied print orientations; do not mirror the lid. After cooling, insert the filament pin and trim its ends without obstructing rotation.	付属の印刷方向を維持し、ふたを鏡像反転しないでください。冷却後にフィラメントピンを通し、回転を妨げないよう端を整えます。	保持提供的打印方向，不要镜像盒盖。冷却后穿入耗材轴，并修整两端以免妨碍转动。
출력 설정: PLA Basic · 노즐 0.4mm · 모든 층 0.2mm · 벽 3 · 채움 20% · 서포트 없음.	Print settings: PLA Basic · 0.4mm nozzle · 0.2mm for all layers · 3 walls · 20% infill · no supports.	印刷設定：PLA Basic · ノズル0.4mm · 全層0.2mm · 壁3周 · インフィル20% · サポートなし。	打印设置：PLA Basic · 0.4mm喷嘴 · 所有层0.2mm · 3道墙 · 20%填充 · 无支撑。
모든 자석은 다음 층보다 낮게 완전히 넣으세요. 재개할 때 자석이 들뜨지 않는지 확인하세요.	Seat every magnet entirely below the next layer. Watch for magnets lifting when printing resumes.	磁石は次の層より低く完全に入れてください。再開時に浮き上がらないか確認します。	将所有磁铁完全放入，低于下一层高度。继续打印时检查磁铁是否翘起。
코인셀 종류 각인	Engrave battery types	電池の種類を刻印	雕刻电池型号
각 묶음 앞에 종류를 0.6mm 깊이로 새깁니다. 본체 STL에도 포함됩니다.	Engraves each group’s type 0.6mm deep. Included in the body STL.	各グループの手前に種類を深さ0.6mmで刻印します。本体STLにも含まれます。	在每组前方雕刻型号，深度0.6mm。本体STL也包含刻字。
설정에 맞춰 3D 형상을 자동으로 만듭니다.	Generating the 3D model automatically from your settings.	設定に合わせて3D形状を自動生成します。	根据设置自动生成3D模型。
배치도 함께 보기	Show layout alongside 3D	配置図も表示	同时显示布局图
코인셀 표시	Show batteries	電池を表示	显示电池
출력 파일 검사를 통과하지 못했습니다. 설정을 조정해 주세요.	Print-file checks failed. Please adjust your settings.	出力ファイルの検査に失敗しました。設定を調整してください。	打印文件未通过检查，请调整设置。
허용 범위: 간격 9–12mm · 기울기 15–25° · 노출 28–35%. 실물 확인 기준은 9mm · 20°입니다.	Allowed: spacing 9–12mm · tilt 15–25° · exposure 28–35%. The physical reference used 9mm · 20°.	範囲：間隔9–12mm・傾斜15–25°・露出28–35%。実物確認の基準は9mm・20°です。	允许范围：间距9–12mm · 倾角15–25° · 露出28–35%。实物验证基准为9mm · 20°。
입력란의 허용 범위 안에서 값을 입력하세요.	Enter a value within the field’s allowed range.	入力欄の許容範囲内の値を入力してください。	请输入字段允许范围内的数值。
배치 순서 · 줄별 개수	Order · quantities per row	配置順序・各行の個数	排列顺序 · 每行数量
배치 직접 지정	Set rows manually	配置を指定	手动设置布局
자동 배치는 빈 공간을 줄입니다. 직접 지정하면 위에서부터 종류 순서대로 한 줄씩 배치합니다.	Automatic layout reduces empty space. Manual layout places each row top to bottom in your chosen type order.	自動配置は空きを減らします。手動では選んだ種類の順に上から一行ずつ配置します。	自动布局减少空隙。手动布局按指定型号顺序从上到下逐行排列。
예: 총 10개를 두 줄로 나누려면 4,6을 입력하세요. 비워 두면 한 줄에 모두 배치합니다.	For 10 batteries in two rows, enter 4,6. Leave blank to put them all in one row.	合計10個を二行に分けるには4,6と入力します。空欄なら一行に並べます。	例如将10个分为两行，输入4,6。留空则全部放在一行。
각 줄의 개수 합계를 종류별 총 개수와 맞춰 주세요.	Row quantities must add up to the total for each battery type.	各行の個数の合計を種類別の総数に合わせてください。	各行数量之和必须等于该型号的总数。
줄별 개수	Quantities per row	各行の個数	每行数量
위로 이동	Move up	上へ	上移
아래로 이동	Move down	下へ	下移
CR2032 두 줄 배치 예시	Example: CR2032 in two rows	例：CR2032を二行に配置	示例：CR2032分为两行
